name,region
Ишимбай,Башкортостан
Кумертау,Башкортостан
Межгорье,Башкортостан
Мелеуз,Башкортостан
Нефтекамск,Башкортостан
Октябрьский,Башкортостан
Салават,Башкортостан
Сибай,Башкортостан
Стерлитамак,Башкортостан
Туймазы,Башкортостан
Уфа,Башкортостан
Учалы,Башкортостан
Янаул,Башкортостан
Бабушкин,Бурятия
Гусиноозёрск,Бурятия
Закаменск,Бурятия
Кяхта,Бурятия
Северобайкальск,Бурятия
Улан-Удэ,Бурятия
Горно-Алтайск,Алтай
Майкоп,Адыгея
Адыгейск,Адыгея
Агидель,Башкортостан
Баймак,Башкортостан
Белебей,Башкортостан
Белорецк,Башкортостан
Бирск,Башкортостан
Благовещенск,Башкортостан
Давлеканово,Башкортостан
Дюртюли,Башкортостан
Буйнакск,Дагестан
Дагестанские Огни,Дагестан
Дербент,Дагестан
Избербаш,Дагестан
Каспийск,Дагестан
Кизилюрт,Дагестан
Кизляр,Дагестан
Махачкала,Дагестан
Хасавюрт,Дагестан
Южно-Сухокумск,Дагестан
Карабулак,Ингушетия
Магас,Ингушетия
Малгобек,Ингушетия
Назрань,Ингушетия
Сунжа,Ингушетия
Баксан,Кабардино-Балкарская
Майский,Кабардино-Балкарская
Нальчик,Кабардино-Балкарская
Нарткала,Кабардино-Балкарская
Прохладный,Кабардино-Балкарская
Терек,Кабардино-Балкарская
Тырныауз,Кабардино-Балкарская
Чегем,Кабардино-Балкарская
Элиста,Калмыкия
Лагань,Калмыкия
Городовиковск,Калмыкия
Карачаевск,Карачаево-Черкесская
Теберда,Карачаево-Черкесская
Усть-Джегута,Карачаево-Черкесская
Черкесск,Карачаево-Черкесская
Петрозаводск,Карелия
Кондопога,Карелия
Сегежа,Карелия
Костомукша,Карелия
Сортавала,Карелия
Медвежьегорск,Карелия
Кемь,Карелия
Питкяранта,Карелия
Беломорск,Карелия
Суоярви,Карелия
Пудож,Карелия
Олонец,Карелия
Лахденпохья,Карелия
Сыктывкар,Коми
